artist_name,artist_role,artist_id,nationality,gender,birth_year,birth_place,death_year,death_place,wiki,ulan
A Marsingall,artist, , , , , , , , , 
A. Gosset James,artist, , , , , , , , , 
A.H. Gerrard,artist, , , , , , , , , 
A.R. Middleton Todd,artist, , , , , , , , , 
Abigail Lane,artist, , , , , , , , , 
Abraham Mintchine,artist, , , , , , , , , 
Abrasha Lozoff,artist, , , , , , , , , 
Adam Dant,artist, , , , , , , , , 
Adam de Colone,artist, , , , , , , , , 
Adolf Dehn,artist, , , , , , , , , 
Adolf Frohner,artist, , , , , , , , , 
Adolfine Ryland,artist, , , , , , , , , 
Adrian Allinson,artist, , , , , , , , , 
Adrian Berg,artist, , , , , , , , , 
Adrian Ryan,artist, , , , , , , , , 
Agostino Brunias,artist, , , , , , , , , 
Alan Beeton,artist, , , , , , , , , 
Alan Bridgewater,artist, , , , , , , , , 
Alan Gouk,artist, , , , , , , , , 
Alan Michael,artist, , , , , , , , , 
Alastair Morton,artist, , , , , , , , , 
Albert Marquet,artist, , , , , , , , , 
Albert Oehlen,artist, , , , , , , , , 
Albert Toft,artist, , , , , , , , , 
Alberto Burri,artist, , , , , , , , , 
Albertus Seba,artist, , , , , , , , , 
Alejandro Otero,artist, , , , , , , , , 
Aleksander Zyw,artist, , , , , , , , , 
Aleksandra Mir,artist, , , , , , , , , 
Alex Mackay,artist, , , , , , , , , 
Alex Packham,artist, , , , , , , , , 
Alexander Apóstol,artist, , , , , , , , , 
Alexander Archipenko,artist, , , , , , , , , 
Alexander Benois,artist, , , , , , , , , 
Alexander Hollweg,artist, , , , , , , , , 
Alexander J. Leslie,artist, , , , , , , , , 
Alexander Jamieson,artist, , , , , , , , , 
Alexander Keirincx,artist, , , , , , , , , 
Alexander Liberman,artist, , , , , , , , , 
Alexander Mackenzie,artist, , , , , , , , , 
Alexander Young Jackson,artist, , , , , , , , , 
Alfred Clint,artist, , , , , , , , , 
Alfred Drury,artist, , , , , , , , , 
Alfred Elmore,artist, , , , , , , , , 
Alfred Glendening,artist, , , , , , , , , 
Alfred J. Oakley,artist, , , , , , , , , 
Alfred Law,artist, , , , , , , , , 
Alfred Parsons,artist, , , , , , , , , 
Alfred R. Thomson,artist, , , , , , , , , 
Alfred Thornton,artist, , , , , , , , , 
Alfredo Chighine,artist, , , , , , , , , 
Alfredo Jaar,artist, , , , , , , , , 
Algernon Talmage,artist, , , , , , , , , 
Alighiero Boetti,artist, , , , , , , , , 
Alina Szapocznikow,artist, , , , , , , , , 
Alison Turnbull,artist, , , , , , , , , 
Alistair Park,artist, , , , , , , , , 
Allen Ruppersberg,artist, , , , , , , , , 
Amy Sillman,artist, , , , , , , , , 
Amédée Ozenfant,artist, , , , , , , , , 
Andrea Soldi,artist, , , , , , , , , 
Andrea Zittel,artist, , , , , , , , , 
Andrew Brown Donaldson,artist, , , , , , , , , 
Andrew Forge,artist, , , , , , , , , 
Andrew Herman,artist, , , , , , , , , 
André Cadere,artist, , , , , , , , , 
André Komatsu,artist, , , , , , , , , 
André Lhote,artist, , , , , , , , , 
André Minaux,artist, , , , , , , , , 
André Thomkins,artist, , , , , , , , , 
André Verlon,artist, , , , , , , , , 
Angela Burt (née Dallas),artist, , , , , , , , , 
Ann Hamilton,artist, , , , , , , , , 
Ann Mary Newton,artist, , , , , , , , , 
Ann Sanders,artist, , , , , , , , , 
Ann Travis,artist, , , , , , , , , 
Anna Barham,artist, , , , , , , , , 
Anna Hope Hudson,artist, , , , , , , , , 
Anna Lea Merritt,artist, , , , , , , , , 
Anne Collier,artist, , , , , , , , , 
Anne Martin,artist, , , , , , , , , 
Anne Said,artist, , , , , , , , , 
Anne Seymour Damer,attributed to, , , , , , , , , 
Anne and Patrick Poirier,artist, , , , , , , , , 
Annette Messager,artist, , , , , , , , , 
Anthea Alley,artist, , , , , , , , , 
Anthea Hamilton,artist, , , , , , , , , 
Anthony Earnshaw,artist, , , , , , , , , 
Anthony Walker,artist, , , , , , , , , 
Anthony Whishaw,artist, , , , , , , , , 
Antoine Bourdelle,artist, , , , , , , , , 
Antoine Villard,artist, , , , , , , , , 
Antoine Vollon,artist, , , , , , , , , 
Anton Vidokle,artist, , , , , , , , , 
Antoni Clavé,artist, , , , , , , , , 
Antoni Malinowski,artist, , , , , , , , , 
Antoni Muntadas,artist, , , , , , , , , 
Antonio Caro,artist, , , , , , , , , 
Antonio Verrio,artist, , , , , , , , , 
Apichatpong Weerasethakul,artist, , , , , , , , , 
Armand Charnay,artist, , , , , , , , , 
Armand Guillaumin,artist, , , , , , , , , 
Arnold Mason,artist, , , , , , , , , 
Arpad Illes,artist, , , , , , , , , 
Arshile Gorky,artist, , , , , , , , , 
Arthur Douglas Peppercorn,artist, , , , , , , , , 
Arthur Friedenson,artist, , , , , , , , , 
Arthur G Walker,artist, , , , , , , , , 
Arthur Giardelli,artist, , , , , , , , , 
Arthur Hacker,artist, , , , , , , , , 
Arthur Jackson,artist, , , , , , , , , 
Arthur John Strutt,attributed to, , , , , , , , , 
Arthur Rackham,artist, , , , , , , , , 
Arthur Segal,artist, , , , , , , , , 
Arthur Wardle,artist, , , , , , , , , 
Artur Zmijewski,artist, , , , , , , , , 
Arturo Martini,artist, , , , , , , , , 
Astrid Klein,artist, , , , , , , , , 
Audrey Capel Doray,artist, , , , , , , , , 
Auguste Herbin,artist, , , , , , , , , 
Augustus Saint-Gaudens,artist, , , , , , , , , 
Austin Wright,artist, , , , , , , , , 
Avinash Chandra,artist, , , , , , , , , 
Axel Amuchastegui,artist, , , , , , , , , 
Ayman Baalbaki,artist, , , , , , , , , 
B.A.R. Carter,artist, , , , , , , , , 
Balthasar Denner,artist, , , , , , , , , 
Balthazar Anton Dunker,artist, , , , , , , , , 
Balthazar Nebot,artist, , , , , , , , , 
Barbara Kruger,artist, , , , , , , , , 
Barrie Cook,artist, , , , , , , , , 
Bart Boumans,artist, , , , , , , , , 
Beatrice How,artist, , , , , , , , , 
Bela Kolárová,artist, , , , , , , , , 
Ben Johnson,artist, , , , , , , , , 
Ben Shahn,artist, , , , , , , , , 
Benedetto Gennari,artist, , , , , , , , , 
Benedict Anthony Van Assen,attributed to, , , , , , , , , 
Bengt Lindström,artist, , , , , , , , , 
Benjamin Blake,artist, , , , , , , , , 
Benjamin Ferrers,artist, , , , , , , , , 
Benjamin Williams Leader,artist, , , , , , , , , 
Bernard Adeney,artist, , , , , , , , , 
Bernard Cheese,artist, , , , , , , , , 
Bernard Frize,artist, , , , , , , , , 
Bernard Perlin,artist, , , , , , , , , 
Bernard Reder,artist, , , , , , , , , 
Bernard Sickert,artist, , , , , , , , , 
Bernard Slawik,artist, , , , , , , , , 
Bernhard Heiliger,artist, , , , , , , , , 
Berthe Morisot,artist, , , , , , , , , 
Bertram Binning,artist, , , , , , , , , 
Bharti Kher,artist, , , , , , , , , 
Bhupen Khakhar,artist, , , , , , , , , 
Bill Beckley,artist, , , , , , , , , 
Bill Jensen,artist, , , , , , , , , 
Blair Hughes-Stanton,artist, , , , , , , , , 
Boris Jesih,artist, , , , , , , , , 
Bram van Velde,artist, , , , , , , , , 
Breda Beban,artist, , , , , , , , , 
Brian Fielding,artist, , , , , , , , , 
Brian Fisher,artist, , , , , , , , , 
Brian Robb,artist, , , , , , , , , 
Brian Wall,artist, , , , , , , , , 
Bruce Turner,artist, , , , , , , , , 
Bruno Serralongue,artist, , , , , , , , , 
Bryan Pearce,artist, , , , , , , , , 
Cai Guo-Qiang,artist, , , , , , , , , 
Camille Graeser,artist, , , , , , , , , 
Campbell Scott,artist, , , , , , , , , 
Caragh Thuring,artist, , , , , , , , , 
Carl Frederik Reuterswärd,artist, , , , , , , , , 
Carlile Henry Hayes Macartney,artist, , , , , , , , , 
Carlo Maria Mariani,artist, , , , , , , , , 
Carlos Amorales,artist, , , , , , , , , 
Carmen Herrera,artist, , , , , , , , , 
Carol Summers,artist, , , , , , , , , 
Carolee Schneemann,artist, , , , , , , , , 
Carsten Höller,artist, , , , , , , , , 
Carton Moore Park,artist, , , , , , , , , 
Catherine Dean,artist, , , , , , , , , 
Catherine Lee,artist, , , , , , , , , 
Catherine Sullivan,artist, , , , , , , , , 
Cathy Wilkes,artist, , , , , , , , , 
Cecily Brown,artist, , , , , , , , , 
Charles Atlas,artist, , , , , , , , , 
Charles Avery,artist, , , , , , , , , 
Charles Biederman,artist, , , , , , , , , 
Charles Bunbury,attributed to, , , , , , , , , 
Charles Burchfield,artist, , , , , , , , , 
Charles Calvert,artist, , , , , , , , , 
Charles Collins,artist, , , , , , , , , 
Charles Despiau,artist, , , , , , , , , 
Charles Dufresne,artist, , , , , , , , , 
Charles Edward Holloway,artist, , , , , , , , , 
Charles Edward Johnson,artist, , , , , , , , , 
Charles Gill,artist, , , , , , , , , 
Charles Gore,attributed to, , , , , , , , , 
Charles Hancock,artist, , , , , , , , , 
Charles Hardaker,artist, , , , , , , , , 
Charles Henry Blaymires,artist, , , , , , , , , 
Charles Hullmandel,artist, , , , , , , , , 
Charles Keeping,artist, , , , , , , , , 
Charles Kirkpatrick Sharpe,artist, , , , , , , , , 
Charles Long,artist, , , , , , , , , 
Charles Maundrell,artist, , , , , , , , , 
Charles Parsons Knight,artist, , , , , , , , , 
Charles Rennie Mackintosh,artist, , , , , , , , , 
Charles Sargeant Jagger,artist, , , , , , , , , 
Charles Vacher,artist, , , , , , , , , 
Charles Web Gilbert,artist, , , , , , , , , 
Charles William Wyllie,artist, , , , , , , , , 
Chloe Cheese,artist, , , , , , , , , 
Chris Orr,artist, , , , , , , , , 
Chris Plowman,artist, , , , , , , , , 
Christian Boltanski,artist, , , , , , , , , 
Christian Dotremont,artist, , , , , , , , , 
Christian Jankowski,artist, , , , , , , , , 
Christian Marclay,artist, , , , , , , , , 
Christian Wolff,artist, , , , , , , , , 
Christine Borland,artist, , , , , , , , , 
Christopher Chamberlain,artist, , , , , , , , , 
Chryssa Vardea,artist, , , , , , , , , 
Chuck Close,artist, , , , , , , , , 
Claire Falkenstein,artist, , , , , , , , , 
Clara Klinghoffer,artist, , , , , , , , , 
Clara Wheatley,artist, , , , , , , , , 
Clare Atwood,artist, , , , , , , , , 
Clarke Hutton,artist, , , , , , , , , 
Claude Bellegarde,artist, , , , , , , , , 
Claude Breeze,artist, , , , , , , , , 
Claude Calthrop,artist, , , , , , , , , 
Claude Muncaster,artist, , , , , , , , , 
Claude Venard,artist, , , , , , , , , 
Clemens von Wedemeyer,artist, , , , , , , , , 
Cliff Holden,artist, , , , , , , , , 
Cliff Rowe,artist, , , , , , , , , 
Clive Gardiner,artist, , , , , , , , , 
Clunie Reid,artist, , , , , , , , , 
Clyfford Still,artist, , , , , , , , , 
Colin Gill,artist, , , , , , , , , 
Colin Hunter,artist, , , , , , , , , 
Colin Morison,artist, , , , , , , , , 
Conrad Dressler,artist, , , , , , , , , 
Constant Permeke,artist, , , , , , , , , 
Count Albert De Belleroche,artist, , , , , , , , , 
Craig Kauffman,artist, , , , , , , , , 
Craig Wood,artist, , , , , , , , , 
Cuthbert Hamilton,artist, , , , , , , , , 
Céline Emilian,artist, , , , , , , , , 
D. Skeaf,artist, , , , , , , , , 
Dan Graham,artist, , , , , , , , , 
Dan Hays,artist, , , , , , , , , 
Dan Holdsworth,artist, , , , , , , , , 
Daniel Mytens,artist, , , , , , , , , 
Daniel Stringer,artist, , , , , , , , , 
Dario Mitidieri,artist, , , , , , , , , 
Darren Almond,artist, , , , , , , , , 
Darsie Japp,artist, , , , , , , , , 
David Allan,artist, , , , , , , , , 
David B. McFall,artist, , , , , , , , , 
David Des Granges,artist, , , , , , , , , 
David Gascoyne,artist, , , , , , , , , 
David Hall,artist, , , , , , , , , 
David Hammons,artist, , , , , , , , , 
David Hepher,artist, , , , , , , , , 
David Maljkovic,artist, , , , , , , , , 
David Medalla,artist, , , , , , , , , 
David Osbaldeston,artist, , , , , , , , , 
David Partridge,artist, , , , , , , , , 
David Rayson,artist, , , , , , , , , 
David Saunders,artist, , , , , , , , , 
David Scott,artist, , , , , , , , , 
David Troostwyk,artist, , , , , , , , , 
David Wynne,artist, , , , , , , , , 
Dee Ferris,artist, , , , , , , , , 
Dee Villers,artist, , , , , , , , , 
Denis Langlois,artist, , , , , , , , , 
Denis Masi,artist, , , , , , , , , 
Denis Mathews,artist, , , , , , , , , 
Denton Welch,artist, , , , , , , , , 
Derek Jarman,artist, , , , , , , , , 
Derek Southall,artist, , , , , , , , , 
Derrick Woodham,artist, , , , , , , , , 
Desmond Morris,artist, , , , , , , , , 
Dhruva Mistry,artist, , , , , , , , , 
Diane Andrews Hall born 1945 T R Uthco (Doug Hall born 1944,artist, , , , , , , , , 
Dmitri Tsapline,artist, , , , , , , , , 
Dominic Denis,artist, , , , , , , , , 
Dominic Serres,artist, , , , , , , , , 
Don Kunkel,artist, , , , , , , , , 
Donald Maclaren,artist, , , , , , , , , 
Donato Cinicolo,artist, , , , , , , , , 
Dorothea Lange,artist, , , , , , , , , 
Dorothy Bohm,artist, , , , , , , , , 
Dorothy Cross,artist, , , , , , , , , 
Dorothy Mead,artist, , , , , , , , , 
Douglas Corker,artist, , , , , , , , , 
Douglas Percy Bliss,artist, , , , , , , , , 
Douglas Portway,artist, , , , , , , , , 
Douglas S. Gray,artist, , , , , , , , , 
Dr Richard Hook,attributed to, , , , , , , , , 
Duncan Campbell,artist, , , , , , , , , 
Dusan Dzamonja,artist, , , , , , , , , 
E. Box,artist, , , , , , , , , 
E. Masters,artist, , , , , , , , , 
E.Q. Nicholson,artist, , , , , , , , , 
Ebenezer Newman Downard,artist, , , , , , , , , 
Ed Atkins,artist, , , , , , , , , 
Ed Meneeley,artist, , , , , , , , , 
Ed Perera,artist, , , , , , , , , 
Edgar Bundy,artist, , , , , , , , , 
Edgar Hubert,artist, , , , , , , , , 
Edgar Rowley Smart,artist, , , , , , , , , 
Edith Maud Rawdon-Hasting Loudoun,artist, , , , , , , , , 
Edmund J. Sullivan,artist, , , , , , , , , 
Edo Murtic,artist, , , , , , , , , 
Edouard Manet,artist, , , , , , , , , 
Eduardo Chillida,artist, , , , , , , , , 
Edvard Munch,artist, , , , , , , , , 
Edward Angelo Goodall,artist, , , , , , , , , 
Edward Armitage,artist, , , , , , , , , 
Edward Arthur Walton,artist, , , , , , , , , 
Edward Atkinson Hornel,artist, , , , , , , , , 
Edward Bird,artist, , , , , , , , , 
Edward Bower,artist, , , , , , , , , 
Edward Buk Ulreich,artist, , , , , , , , , 
Edward Dalziel,artist, , , , , , , , , 
Edward Giobbi,artist, , , , , , , , , 
Edward Halliday,artist, , , , , , , , , 
Edward John Gregory,artist, , , , , , , , , 
Edward Reginald Frampton,artist, , , , , , , , , 
Edward Ripley,artist, , , , , , , , , 
Edward Stott,artist, , , , , , , , , 
Edward Thompson Davis,artist, , , , , , , , , 
Edward Toledano,artist, , , , , , , , , 
Edward Villiers Rippingille,artist, , , , , , , , , 
Edward Wright,artist, , , , , , , , , 
Edwin Alexander,artist, , , , , , , , , 
Edwin Douglas,artist, , , , , , , , , 
Edwin Edwards,artist, , , , , , , , , 
Edwin Hayes,artist, , , , , , , , , 
Edwin La Dell,artist, , , , , , , , , 
Edwin Whitney-Smith,artist, , , , , , , , , 
Egbert Van Heemskerk,artist, , , , , , , , , 
Egide Rombaux,artist, , , , , , , , , 
Eija-Liisa Ahtila,artist, , , , , , , , , 
Eileen Lawrence,artist, , , , , , , , , 
Eleanor Koch,artist, , , , , , , , , 
Elinor Bellingham-Smith,artist, , , , , , , , , 
Elizabeth Butler,artist, , , , , , , , , 
Elizabeth Forbes,artist, , , , , , , , , 
Elizabeth Leveson-Gower Sutherland,artist, , , , , , , , , 
Elizabeth Sorrell,artist, , , , , , , , , 
Ellen Cantor,artist, , , , , , , , , 
Elliot Erwitt,artist, , , , , , , , , 
Elsa Fraenkel,artist, , , , , , , , , 
Else Meidner,artist, , , , , , , , , 
Emil Fuchs,artist, , , , , , , , , 
Emil Nolde,artist, , , , , , , , , 
Emile Gilioli,artist, , , , , , , , , 
Emilio Vedova,artist, , , , , , , , , 
Emily Osborn,artist, , , , , , , , , 
Emily Wardill,artist, , , , , , , , , 
Emma Ciardi,artist, , , , , , , , , 
Emre Huner,artist, , , , , , , , , 
Enid Marx,artist, , , , , , , , , 
Enrique Grau,artist, , , , , , , , , 
Enzo Cucchi,artist, , , , , , , , , 
Erdag Aksel,artist, , , , , , , , , 
Eric Forbes-Robertson,artist, , , , , , , , , 
Eric Malthouse,artist, , , , , , , , , 
Eric Olson,artist, , , , , , , , , 
Erich Consemüller,artist, , , , , , , , , 
Erich Kahn,artist, , , , , , , , , 
Erik Dietman,artist, , , , , , , , , 
Ernest Briggs,artist, , , , , , , , , 
Ernest Leopold Sichel,artist, , , , , , , , , 
Ernest M. Dinkel,artist, , , , , , , , , 
Ernest Parton,artist, , , , , , , , , 
Ernest Procter,artist, , , , , , , , , 
Ernesto Neto,artist, , , , , , , , , 
Ernesto Salmeron,artist, , , , , , , , , 
Ernst Barlach,artist, , , , , , , , , 
Ernst Ludwig Kirchner,artist, , , , , , , , , 
Ernst Nay,artist, , , , , , , , , 
Ernst Van Leyden,artist, , , , , , , , , 
Eugène Berman,artist, , , , , , , , , 
Evan Charlton,artist, , , , , , , , , 
Eve Kirk,artist, , , , , , , , , 
Evelyn Cheston,artist, , , , , , , , , 
Evelyn Ince,artist, , , , , , , , , 
Evert Lundquist,artist, , , , , , , , , 
Eyre Crowe,artist, , , , , , , , , 
F.C. Turner,after, , , , , , , , , 
Fausto Pirandello,artist, , , , , , , , , 
Fei Cao,artist, , , , , , , , , 
Felicia Leirner,artist, , , , , , , , , 
Felix Kelly,artist, , , , , , , , , 
Feodora Gleichen,artist, , , , , , , , , 
Ferdinand Kulmer,artist, , , , , , , , , 
Fernando Bryce,artist, , , , , , , , , 
Fiona Crisp,artist, , , , , , , , , 
Fiona Tan,artist, , , , , , , , , 
Fionnuala and Leslie Boyd and Evans,artist, , , , , , , , , 
Flora Lion,artist, , , , , , , , , 
Florence Engelbach,artist, , , , , , , , , 
Florian Pumhösl,artist, , , , , , , , , 
Francesco Bartolozzi,attributed to, , , , , , , , , 
Francesco Sleter,artist, , , , , , , , , 
Francesco Zuccarelli,artist, , , , , , , , , 
Francis Cleyn,artist, , , , , , , , , 
Francis Davis Millet,artist, , , , , , , , , 
Francis Davison,artist, , , , , , , , , 
Francis Gruber,artist, , , , , , , , , 
Francis Holman,artist, , , , , , , , , 
Francis Kelly,artist, , , , , , , , , 
Francis Merivale,attributed to, , , , , , , , , 
Francis Sartorius,artist, , , , , , , , , 
Francis Upritchard,artist, , , , , , , , , 
Francis W. Sargant,artist, , , , , , , , , 
Francisco Farreras,artist, , , , , , , , , 
Francisco Sobrino,artist, , , , , , , , , 
Frank Craig,artist, , , , , , , , , 
Frank Dadd,artist, , , , , , , , , 
Frank L. Emanuel,artist, , , , , , , , , 
Frank Nitsche,artist, , , , , , , , , 
Frano Krsinic,artist, , , , , , , , , 
Frantisek Kupka,artist, , , , , , , , , 
František Drtikol,artist, , , , , , , , , 
Franz Kaisermann,artist, , , , , , , , , 
Franz Kline,artist, , , , , , , , , 
Franz West,artist, , , , , , , , , 
François Desnoyer,artist, , , , , , , , , 
François Morellet,artist, , , , , , , , , 
François Stahly,artist, , , , , , , , , 
Fred Appleyard,artist, , , , , , , , , 
Fred Cecil Jones,artist, , , , , , , , , 
Fred Mayor,artist, , , , , , , , , 
Frederick Brill,artist, , , , , , , , , 
Frederick Cayley Robinson,artist, , , , , , , , , 
Frederick J. Porter,artist, , , , , , , , , 
Frederick Lee Bridell,artist, , , , , , , , , 
Frederick Richard Pickersgill,artist, , , , , , , , , 
Frederick Tayler,artist, , , , , , , , , 
Frederick W. Elwell,artist, , , , , , , , , 
Frederick William Smith,artist, , , , , , , , , 
Friedrich Vordemberge-Gildewart,artist, , , , , , , , , 
Fritz Wotruba,artist, , , , , , , , , 
Frédéric Benrath,artist, , , , , , , , , 
Fudong Yang,artist, , , , , , , , , 
Fusao Hori,artist, , , , , , , , , 
Félix Vallotton,artist, , , , , , , , , 
G.W. Gent,artist, , , , , , , , , 
Gabriel Couderc,artist, , , , , , , , , 
Gabriel Kuri,artist, , , , , , , , , 
Gareth Jones,artist, , , , , , , , , 
Gareth Moore,artist, , , , , , , , , 
Garrick Palmer,artist, , , , , , , , , 
Ged Quinn,artist, , , , , , , , , 
Gene Davis,artist, , , , , , , , , 
Geoffrey Elliott,artist, , , , , , , , , 
Geoffrey Rhoades,artist, , , , , , , , , 
Georg Herold,artist, , , , , , , , , 
George Arnald,artist, , , , , , , , , 
George Arthur Fripp,artist, , , , , , , , , 
George Augustus Henry Sala,artist, , , , , , , , , 
George B. Campion,artist, , , , , , , , , 
George Beare,artist, , , , , , , , , 
